Get Categories for URLs from file
# Instance: zscalertwo  | retrieved by user api@disher.net ###
# Script Started: 2020-10-18 09:57:58

Processing Script
/Users/mdisher/PycharmProjects/ZSCheckURLs/nUrls_Check_And_Lookup_Script.py
Logged in successfully in  API 

Results below this line is csv content. cut/copy/paste or open with Excel
________________________________
url,dns_resolves,category_01,category_02,category_03,category_04,numCategories,secAlert_01,secAlert_02,secAlert_03,secAlert_04,numSecAlerts
mi.loft.com,YES:54.245.186.241,CORPORATE_MARKETING,SPECIALIZED_SHOPPING,,,2,,,,,0
pcboosterproject.com,DoesNotResolve,,,,,0,BOTNET,,,,1
cdn.doubleverify.com,YES:184.25.98.148,CORPORATE_MARKETING,,,,1,,,,,0
jeffisapropellerhead.com,DoesNotResolve,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
freebitco.in,YES:104.22.7.169,FINANCE,,,,1,CRYPTOMINING,,,,1
nodomainforyou.fubar,DoesNotResolve,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.dishers.com,YES:198.46.88.128,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.disher.net,YES:198.46.88.128,BLOG,,,,1,,,,,0
zscaler.com,YES:35.166.119.124,PROFESSIONAL_SERVICES,,,,1,,,,,0
uvegteglaker.hu,YES:91.82.85.66,,,,,0,BOTNET,,,,1
8bitscreative.com,YES:197.81.192.48,,,,,0,PHISHING,,,,1
pushsar.com,YES:139.45.196.130,,,,,0,SPYWARE_OR_ADWARE,,,,1
cryptobrowser.site,YES:212.8.252.163,,,,,0,ADSPYWARE_SITES,,,,1
cobalten.com,YES:139.45.195.37,PROFESSIONAL_SERVICES,,,,1,MALWARE_SITE,SPYWARE_OR_ADWARE,,,2
thewhizmarketing.com,YES:34.235.12.240,,,,,0,SPYWARE_OR_ADWARE,,,,1
adsco.re,YES:162.252.214.5,INTERNET_SERVICES,,,,1,SPYWARE_OR_ADWARE,,,,1
6.adsco.re,YES:104.17.167.186,INTERNET_SERVICES,,,,1,SPYWARE_OR_ADWARE,,,,1
ia.51.la,DoesNotResolve,INTERNET_SERVICES,,,,1,,,,,0
filmfanatic.com,YES:34.102.244.163,TELEVISION_AND_MOVIES,,,,1,SPYWARE_OR_ADWARE,,,,1
thouth.net,YES:104.18.36.139,,,,,0,SPYWARE_OR_ADWARE,,,,1
api.mediaad.org,YES:45.94.255.23,PROFESSIONAL_SERVICES,,,,1,,,,,0
arga-mag.com,YES:185.120.222.166,PORTALS,,,,1,,,,,0
img.alimama.cn,YES:47.246.25.253,,,,,0,SPYWARE_OR_ADWARE,,,,1
7qlt7oxrot63.l.adsco.re,YES:185.200.118.90,INTERNET_SERVICES,,,,1,SPYWARE_OR_ADWARE,,,,1
robotrade.com.vn,DoesNotResolve,,,,,0,MALWARE_SITE,,,,1
7qlt7oxrot63.s.adsco.re,YES:185.200.116.90,INTERNET_SERVICES,,,,1,SPYWARE_OR_ADWARE,,,,1
7qlt7oxrot63.n.adsco.re,YES:38.132.109.186,INTERNET_SERVICES,,,,1,SPYWARE_OR_ADWARE,,,,1
www.tashipta.com,YES:103.21.59.28,,,,,0,PHISHING,,,,1
b9good.com,YES:185.233.186.24,,,,,0,PHISHING,,,,1
t.info.samsungusa.com,YES:99.84.167.81,CORPORATE_MARKETING,SPECIALIZED_SHOPPING,,,2,,,,,0
iyfsearch.com,YES:208.91.196.46,WEB_BANNERS,,,,1,ADSPYWARE_SITES,,,,1
udb-sitecore.udbonline.com,YES:104.16.70.93,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
dawnbrooksfitness.com,YES:108.179.234.138,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.managedresourcesinc.com,YES:35.237.229.102,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.airboatridesfortlauderdale.com,YES:216.194.170.22,HOBBIES_AND_LEISURE,,,,1,,,,,0
173.243.8.129,YES:173.243.8.129,ONLINE_CHAT,WEB_CONFERENCING,,,2,,,,,0
slcs.online,DoesNotResolve,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
coasthealthcare.com,YES:209.17.116.160,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
images.adsonlinesite.com,YES:99.84.251.46,PROFESSIONAL_SERVICES,,,,1,,,,,0
li.cheapoair.com,YES:23.62.6.161,TRAVEL,,,,1,,,,,0
23.62.99.70,YES:23.62.99.70,PROFESSIONAL_SERVICES,,,,1,,,,,0
charliedeets.com,YES:104.198.6.15,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.bestretailandfoodpractices.com,YES:104.37.86.30,BLOG,,,,1,,,,,0
c.imprvdosrv.com,YES:151.139.128.11,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
wigaragedoorsrepair.com,YES:198.71.233.204,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.jackson-hospital.com,YES:104.198.105.115,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.preciousmetalsdirect.com,DoesNotResolve,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
loving-choice.org,YES:192.0.78.133,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
mindalgn.com,YES:199.167.203.216,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
mulderfiles.nl,YES:149.210.207.140,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
quickbox.io,YES:172.67.72.66,PROFESSIONAL_SERVICES,,,,1,,,,,0
drlogy.com,YES:103.212.121.120,HEALTH,,,,1,,,,,0
pass4sure.prep4cram.com,YES:172.67.215.28,SPECIALIZED_SHOPPING,,,,1,,,,,0
www.hopperfuneralhome.com,YES:104.18.249.243,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.wpccu.org,YES:23.185.0.2,FINANCE,,,,1,,,,,0
apcpain.com,YES:184.168.131.241,HEALTH,,,,1,,,,,0
bhcoe.org,DoesNotResolve,PROFESSIONAL_SERVICES,,,,1,,,,,0
promotionapi.discountninja.io,YES:172.67.153.22,INTERNET_SERVICES,,,,1,,,,,0
www.sinuva.com,YES:192.124.249.64,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
images.sg.content-cdn.io,YES:104.18.92.205,OTHER_INFORMATION_TECHNOLOGY,,,,1,,,,,0
www.advantageorthopedic.com,YES:52.72.235.245,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
185.93.1.196,YES:185.93.1.196,INTERNET_SERVICES,,,,1,,,,,0
s.wlplayer.com,YES:104.26.10.143,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
fsucuonline.org,YES:107.162.167.84,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
mp.weixin.qq.com,DoesNotResolve,PROFESSIONAL_SERVICES,,,,1,,,,,0
www.athanschiro.com,YES:172.67.168.11,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.sprmedicine.com,YES:104.26.6.141,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
